time	V(n004)
0.000000000000000e+000	7.572948e-003
4.571428442139744e-009	7.572948e-003
9.142856884279487e-009	7.572948e-003
1.371428532641923e-008	7.572949e-003
1.828571376855898e-008	7.572950e-003
2.285714221069872e-008	7.572951e-003
2.742857065283846e-008	7.572953e-003
3.199999909497819e-008	7.572955e-003
2.221216155894591e-007	7.573254e-003
4.122432320839399e-007	7.567142e-003
6.023648485784208e-007	7.554619e-003
7.924864650729017e-007	7.535686e-003
9.826080815673826e-007	7.510341e-003
1.172729698061863e-006	7.478586e-003
1.362851314556344e-006	7.440420e-003
2.046396255443160e-006	7.251420e-003
6.283518505867047e-006	5.716243e-003
8.289013371488310e-006	5.137749e-003
1.136771229616847e-005	4.461433e-003
1.195798956414240e-005	4.367667e-003
1.313854410009026e-005	4.243647e-003
1.600013671733952e-005	4.029765e-003
1.700110380804662e-005	3.984811e-003
1.900303798946082e-005	3.890680e-003
1.973585047720550e-005	3.855786e-003
2.065600627035088e-005	3.811359e-003
2.099754040081987e-005	3.790546e-003
2.121018941206049e-005	3.773257e-003
2.134681995160643e-005	3.760165e-003
2.142920659302639e-005	3.752156e-003
2.149448203968400e-005	3.745908e-003
2.156475167251131e-005	3.739049e-003
2.161367912676642e-005	3.734486e-003
2.168270348758673e-005	3.728274e-003
2.171463264310155e-005	3.725528e-003
2.174494837611250e-005	3.722993e-003
2.189856605123874e-005	3.711475e-003
2.218788632343378e-005	3.695843e-003
2.238080316576779e-005	3.689049e-003
2.261925565378903e-005	3.684552e-003
2.316862259356100e-005	3.697038e-003
2.492843879157682e-005	3.881268e-003
2.616832820009573e-005	4.143202e-003
2.727715569816433e-005	4.768093e-003
2.799480031267050e-005	5.866212e-003
2.856226000497886e-005	7.914658e-003
2.906389025846032e-005	1.137255e-002
2.972120591167662e-005	1.752917e-002
2.998445249715308e-005	1.988677e-002
3.015491542207144e-005	2.100910e-002
3.036239356520591e-005	2.186872e-002
3.058449131181226e-005	2.235922e-002
3.083724581449725e-005	2.256577e-002
3.128397992741406e-005	2.258130e-002
3.184204983621556e-005	2.273123e-002
3.496840112178759e-005	2.511727e-002
3.809475240735963e-005	2.749504e-002
4.122110369293166e-005	2.986455e-002
4.434745497850369e-005	3.222580e-002
4.747380626407572e-005	3.457879e-002
5.060015754964776e-005	3.692351e-002
5.372650883521979e-005	3.925997e-002
6.814882555289338e-005	5.006172e-002
9.488073483121011e-005	7.005046e-002
1.483445533878436e-004	1.099607e-001
2.552721905011105e-004	1.895294e-001
4.081362254696981e-004	3.025626e-001
6.096374940998887e-004	4.490996e-001
1.012640031360270e-003	7.274039e-001
1.818645105881033e-003	1.217469e+000
2.765772701978284e-003	1.680292e+000
3.240999177663888e-003	1.845719e+000
3.557449182978903e-003	1.916195e+000
3.820146647296683e-003	1.951252e+000
4.083202704453733e-003	1.965400e+000
4.385636005566313e-003	1.955886e+000
4.773062294621641e-003	1.901336e+000
5.400761933947393e-003	1.718434e+000
6.398495178419195e-003	1.247950e+000
7.642122014560705e-003	4.877848e-001
